"Subnational electricity consumption, Great Britain, 2016",,,,,,,,,,,,,,,,,,,,,,,
"This table shows the electricity consumption and the number of electric meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,,,,,,,,,
Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic Standard","Number of meters
(thousands):
Domestic E7 
","Number of meters
(thousands):
All Domestic
","Number of meters
(thousands):
All Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic Standard","Total consumption
(GWh):
Domestic E7","Total consumption
(GWh):
All Domestic
","Total consumption
(GWh):
All Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic Standard","Mean consumption
(kWh per meter):
Domestic E7","Mean consumption
(kWh per meter):
All Domestic
","Mean consumption
(kWh per meter):
All Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic Standard","Median consumption
(kWh per meter):
Domestic E7","Median consumption
(kWh per meter):
All Domestic
","Median consumption
(kWh per meter):
All Non-Domestic","Median consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
E06000006,North West,Halton,54.4,1.6,56.0,3.5,59.6,182.1,8.8,190.9,507.9,698.8,"3,345.2","5,438.3","3,405.8","143,792.0","11,728.4","2,972.0","4,268.2","2,994.0","10,411.2","3,049.5","3,504.3"
E06000007,North West,Warrington,87.4,3.9,91.3,6.3,97.6,302.0,22.1,324.2,565.7,889.8,"3,456.7","5,668.4","3,551.3","89,533.6","9,117.4","2,994.3","4,662.2","3,037.3","10,872.6","3,109.4","3,639.2"
E06000008,North West,Blackburn with Darwen,56.2,4.0,60.1,5.1,65.2,190.2,20.5,210.7,384.6,595.4,"3,387.0","5,166.4","3,504.5","76,002.4","9,132.3","2,898.8","3,753.7","2,932.7","9,508.5","3,017.4","3,692.4"
E06000009,North West,Blackpool,59.7,7.4,67.1,6.8,73.9,204.4,39.1,243.5,288.4,531.9,"3,425.8","5,288.1","3,631.3","42,135.4","7,197.8","2,899.5","4,267.5","2,979.6","7,468.6","3,070.6","3,851.3"
E06000049,North West,Cheshire East,155.4,14.5,169.9,14.1,184.0,599.6,92.6,692.2,"1,047.7","1,740.0","3,858.8","6,385.3","4,074.5","74,428.7","9,458.0","3,163.8","4,911.4","3,250.8","10,390.0","3,346.6","4,216.7"
E06000050,North West,Cheshire West and Chester,143.3,9.2,152.5,11.7,164.2,518.1,58.7,576.8,"1,669.2","2,246.0","3,616.3","6,346.1","3,781.9","142,641.0","13,676.8","3,073.8","5,012.1","3,135.7","10,599.8","3,223.4","3,980.1"
E07000026,North West,Allerdale,41.6,4.6,46.2,5.6,51.8,143.1,31.6,174.7,275.5,450.2,"3,438.5","6,879.8","3,780.7","49,373.7","8,691.8","2,917.9","5,158.5","3,022.9","8,328.2","3,149.3","4,055.5"
E07000027,North West,Barrow-in-Furness,31.2,2.0,33.2,2.2,35.5,97.6,9.9,107.5,356.7,464.1,"3,123.1","4,968.9","3,233.7","160,080.3","13,086.7","2,723.9","3,559.4","2,757.7","8,081.5","2,814.7","3,457.3"
E07000028,North West,Carlisle,46.2,4.6,50.8,5.3,56.1,158.4,30.6,189.1,382.0,571.1,"3,432.0","6,636.0","3,723.4","71,814.7","10,179.6","2,871.6","5,264.1","2,970.7","8,451.3","3,073.1","3,867.3"
E07000029,North West,Copeland,29.7,3.4,33.1,2.8,35.9,101.3,23.6,124.9,100.6,225.5,"3,406.7","7,014.0","3,773.1","35,453.4","6,275.0","2,928.6","5,435.6","3,034.8","7,920.1","3,128.6","4,162.0"
E07000030,North West,Eden,19.9,5.4,25.3,4.5,29.8,79.5,42.3,121.8,238.0,359.8,"3,988.2","7,861.6","4,811.1","52,966.0","12,069.7","3,217.9","6,418.5","3,546.0","8,195.3","3,763.6","5,168.1"
E07000031,North West,South Lakeland,44.8,9.3,54.1,7.8,61.9,164.5,67.4,231.9,324.2,556.1,"3,671.5","7,247.1","4,286.1","41,424.9","8,979.2","2,957.6","5,657.5","3,173.9","7,814.9","3,332.9","4,917.0"
E07000117,North West,Burnley,38.6,2.0,40.6,3.3,43.9,124.1,10.8,134.9,195.9,330.8,"3,217.8","5,268.7","3,321.3","60,039.9","7,540.3","2,820.2","4,200.1","2,855.7","8,335.9","2,921.0","3,597.3"
E07000118,North West,Chorley,46.3,3.0,49.3,3.4,52.8,166.6,17.3,183.9,190.3,374.2,"3,595.0","5,812.0","3,729.0","55,290.9","7,091.2","3,063.5","4,574.0","3,114.2","9,352.2","3,182.3","3,817.2"
E07000119,North West,Fylde,32.9,4.9,37.8,3.4,41.2,120.4,29.1,149.6,228.5,378.1,"3,662.0","5,994.7","3,962.3","67,222.7","9,187.5","3,030.0","5,108.5","3,175.4","7,826.1","3,263.6","4,091.1"
E07000120,North West,Hyndburn,34.4,2.1,36.5,3.0,39.5,109.4,10.9,120.3,170.6,290.8,"3,184.3","5,106.1","3,296.4","56,761.7","7,365.4","2,762.4","3,669.9","2,793.9","7,905.6","2,864.5","3,480.5"
E07000121,North West,Lancaster,56.3,6.3,62.6,5.7,68.3,189.5,38.0,227.5,289.2,516.7,"3,364.0","6,071.0","3,634.6","50,451.3","7,562.0","2,825.8","4,802.1","2,925.1","7,723.3","3,012.8","3,881.8"
E07000122,North West,Pendle,37.4,2.5,39.9,3.3,43.2,123.0,13.4,136.4,229.6,366.0,"3,287.3","5,328.3","3,415.5","69,989.5","8,468.3","2,758.4","3,761.1","2,792.0","6,776.8","2,858.9","3,597.2"
E07000123,North West,Preston,55.2,5.3,60.4,5.7,66.1,188.7,27.9,216.6,334.6,551.1,"3,421.2","5,292.7","3,584.3","58,986.9","8,338.9","2,886.5","4,219.2","2,949.2","8,817.6","3,047.2","3,752.0"
E07000124,North West,Ribble Valley,23.5,2.2,25.7,2.9,28.6,94.1,16.3,110.4,321.5,431.9,"4,001.7","7,541.9","4,300.0","111,590.6","15,124.2","3,185.0","5,681.7","3,283.6","8,706.7","3,415.0","4,359.6"
E07000125,North West,Rossendale,29.8,1.9,31.7,2.6,34.3,105.8,10.7,116.5,189.0,305.5,"3,547.4","5,695.7","3,674.9","73,448.3","8,912.2","3,019.2","4,462.3","3,061.0","7,819.2","3,134.8","3,894.7"
