"Subnational gas consumption, Great Britain, 2012",,,,,,,,,,,,,,,
"This table shows the gas consumption and the number of gas meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,
"Cells in the ""Notes"" columns have been left blank where there is no note for the given row.",,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,
Code,Country or region,Local authority,Notes,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic
","Median consumption
(kWh per meter):
Non-Domestic","Median consumption
(kWh per meter):
All meters"
E07000042,South West,Mid Devon,,19.1,0.2,19.3,219,217,436,"11,452","1,047,324","22,535","10,012","148,778","10,104"
E07000043,South West,North Devon,,29.9,0.3,30.2,359,147,506,"12,021","442,174","16,765","10,502","140,702","10,584"
E07000044,South West,South Hams,,24.3,0.2,24.6,294,228,523,"12,102","920,208","21,265","10,426","144,827","10,522"
E07000045,South West,Teignbridge,[note 1],43.2,0.4,43.6,513,289,801,"11,864","752,073","18,386","10,512","141,669","10,582"
E07000046,South West,Torridge,,15.4,0.1,15.5,170,33,203,"11,078","299,531","13,108","9,677","145,235","9,723"
E07000047,South West,West Devon,,12.9,0.1,13.0,164,90,253,"12,668","735,291","19,428","10,720","127,886","10,790"
E07000048,South West,Christchurch,,20.8,0.2,20.9,269,45,314,"12,959","276,656","15,027","11,912","155,942","11,968"
E07000049,South West,East Dorset,,33.1,0.3,33.4,512,64,576,"15,462","238,621","17,261","14,142","129,747","14,211"
E07000050,South West,North Dorset,,19.6,0.3,19.9,258,129,386,"13,138","471,220","19,425","11,720","187,841","11,818"
E07000051,South West,Purbeck,,17.7,0.2,17.9,225,82,307,"12,723","376,892","17,151","11,354","173,028","11,452"
E07000052,South West,West Dorset,,30.5,0.4,30.9,369,131,500,"12,103","333,246","16,181","10,461","150,472","10,562"
E07000053,South West,Weymouth and Portland,[note 1],27.4,0.3,27.7,312,80,392,"11,368","313,624","14,164","10,151","133,157","10,232"
E07000078,South West,Cheltenham,,48.2,0.7,49.0,619,282,901,"12,831","397,948","18,408","11,277","147,377","11,398"
E07000079,South West,Cotswold,,23.4,0.4,23.8,357,142,499,"15,261","358,602","20,982","13,221","133,399","13,372"
E07000080,South West,Forest of Dean,,20.8,0.2,21.0,275,296,571,"13,210","1,556,806","27,177","12,034","143,362","12,105"
E07000081,South West,Gloucester,,49.2,0.5,49.7,590,282,872,"11,984","559,145","17,544","10,999","163,917","11,069"
E07000082,South West,Stroud,,40.4,0.5,40.9,571,271,842,"14,128","537,352","20,583","12,362","136,699","12,479"
E07000083,South West,Tewkesbury,,30.7,0.3,31.1,400,211,611,"13,010","620,939","19,664","11,579","162,744","11,665"
E07000187,South West,Mendip,,35.6,0.4,36.0,458,201,659,"12,846","505,438","18,287","11,270","139,688","11,367"
E07000188,South West,Sedgemoor,,35.1,0.3,35.4,411,268,679,"11,701","846,786","19,146","10,398","145,675","10,465"
E07000189,South West,South Somerset,,45.8,0.5,46.2,548,418,967,"11,987","880,999","20,917","10,639","150,000","10,686"
E07000190,South West,Taunton Deane,,38.1,0.4,38.6,456,158,614,"11,957","376,200","15,934","10,639","154,168","10,681"
E07000191,South West,West Somerset,,8.3,0.1,8.3,99,100,199,"11,986","1,168,128","23,907","10,436","130,349","10,516"
W06000001,Wales,Isle of Anglesey,,15.5,0.2,15.7,189,186,375,"12,143","1,178,650","23,887","10,792","151,573","10,871"
W06000002,Wales,Gwynedd,,29.3,0.5,29.7,348,186,534,"11,903","401,680","17,960","10,405","140,719","10,532"
W06000003,Wales,Conwy,,44.9,0.6,45.5,590,158,748,"13,144","280,457","16,459","11,649","146,428","11,772"
W06000004,Wales,Denbighshire,,32.8,0.4,33.2,428,179,606,"13,048","471,423","18,287","11,881","149,245","11,977"
W06000005,Wales,Flintshire,[note 1],51.9,0.5,52.4,697,946,"1,643","13,415","2,000,527","31,352","12,571","185,059","12,640"
W06000006,Wales,Wrexham,,49.3,0.5,49.8,639,"1,209","1,848","12,972","2,549,871","37,140","12,084","185,562","12,160"
W06000023,Wales,Powys,,27.2,0.5,27.7,355,174,529,"13,038","383,440","19,120","11,419","163,788","11,565"
W06000008,Wales,Ceredigion,,8.4,0.2,8.6,107,72,180,"12,758","432,180","20,912","10,719","123,717","10,908"
W06000009,Wales,Pembrokeshire,,33.2,0.3,33.5,410,109,519,"12,359","314,337","15,477","11,103","143,583","11,191"
W06000010,Wales,Carmarthenshire,[note 1],49.6,0.5,50.1,671,309,980,"13,524","639,225","19,556","12,387","164,521","12,474"
W06000011,Wales,Swansea,,98.8,0.9,99.6,"1,340",652,"1,992","13,562","759,050","19,989","12,492","170,405","12,577"
W06000012,Wales,Neath Port Talbot,[note 1],59.3,0.5,59.8,805,397,"1,202","13,573","816,091","20,109","12,765","153,000","12,833"
W06000013,Wales,Bridgend,,58.7,0.5,59.2,812,489,"1,301","13,836","1,003,459","21,978","12,891","154,079","12,960"
W06000014,Wales,Vale of Glamorgan,[note 1],49.2,0.4,49.6,682,275,957,"13,860","770,019","19,306","12,432","131,936","12,492"
W06000015,Wales,Cardiff,,135.1,1.5,136.6,"1,785","1,285","3,069","13,209","863,902","22,470","11,889","168,193","11,988"
W06000016,Wales,Rhondda Cynon Taf,,103.0,0.8,103.8,"1,447",495,"1,942","14,043","598,595","18,699","13,379","155,962","13,444"
W06000024,Wales,Merthyr Tydfil,,25.7,0.2,26.0,382,137,519,"14,841","616,667","19,986","14,155","167,531","14,221"
W06000018,Wales,Caerphilly,,74.8,0.6,75.4,"1,068",310,"1,378","14,277","556,606","18,286","13,529","140,947","13,589"
W06000019,Wales,Blaenau Gwent,,31.1,0.3,31.4,462,174,636,"14,850","585,904","20,245","14,242","180,735","14,334"
W06000020,Wales,Torfaen,,38.9,0.3,39.3,512,424,937,"13,163","1,219,827","23,856","12,162","181,138","12,231"
W06000021,Wales,Monmouthshire,,29.2,0.3,29.5,409,303,711,"13,984","973,883","24,094","12,682","142,357","12,770"
W06000022,Wales,Newport,[note 1],59.3,0.6,59.9,768,903,"1,670","12,933","1,600,294","27,876","11,743","154,619","11,825"
S12000033,Scotland,Aberdeen City,[note 1],93.0,1.7,94.6,"1,400","1,136","2,536","15,056","678,146","26,790","12,659","171,174","12,845"
S12000034,Scotland,Aberdeenshire,[note 1],59.7,0.8,60.5,"1,051",356,"1,407","17,602","454,696","23,252","16,114","165,516","16,258"
S12000041,Scotland,Angus,,36.6,0.5,37.0,572,394,966,"15,642","850,384","26,083","14,064","190,987","14,192"
S12000035,Scotland,Argyll and Bute,,20.3,0.3,20.6,332,153,486,"16,388","458,982","23,556","14,085","123,531","14,311"
S12000036,Scotland,City of Edinburgh,,206.8,3.1,209.9,"2,831","1,946","4,777","13,693","626,326","22,763","11,433","151,386","11,596"
S12000005,Scotland,Clackmannanshire,[note 1],21.8,0.2,22.1,320,808,"1,128","14,664","3,774,083","51,145","13,454","164,156","13,539"
S12000006,Scotland,Dumfries and Galloway,,42.4,0.5,42.9,627,533,"1,161","14,785","1,104,475","27,051","13,391","155,152","13,493"
S12000042,Scotland,Dundee City,,56.0,0.8,56.9,780,647,"1,426","13,909","780,156","25,078","12,125","185,336","12,279"
S12000008,Scotland,East Ayrshire,,52.2,0.5,52.7,775,356,"1,131","14,842","737,583","21,465","13,638","168,653","13,713"
S12000045,Scotland,East Dunbartonshire,,41.5,0.4,42.0,786,148,934,"18,927","336,933","22,261","17,138","117,955","17,250"
S12000010,Scotland,East Lothian,,37.2,0.4,37.6,550,235,784,"14,759","619,433","20,853","13,345","180,537","13,432"
S12000011,Scotland,East Renfrewshire,,34.0,0.4,34.4,665,105,770,"19,587","256,042","22,401","17,568","115,282","17,705"
S12000014,Scotland,Falkirk,[note 1],61.9,0.6,62.4,934,822,"1,755","15,093","1,422,033","28,118","14,010","181,362","14,091"
S12000015,Scotland,Fife,[note 1],156.0,1.6,157.5,"2,379","2,621","4,999","15,252","1,678,934","31,739","14,007","164,981","14,099"
S12000046,Scotland,Glasgow City,,244.9,3.6,248.5,"2,991","2,518","5,510","12,216","690,136","22,169","10,602","182,431","10,741"
S12000017,Scotland,Highland,[note 1],37.9,0.5,38.5,583,540,"1,123","15,385","1,009,020","29,208","13,808","165,329","13,945"
S12000018,Scotland,Inverclyde,,32.6,0.4,33.0,488,198,686,"14,966","456,622","20,768","13,358","140,240","13,490"
S12000019,Scotland,Midlothian,,33.0,0.4,33.4,496,162,658,"15,008","458,281","19,693","13,901","176,891","13,989"
S12000020,Scotland,Moray,,28.6,0.4,29.0,449,"1,386","1,834","15,685","3,481,157","63,221","13,984","182,372","14,115"
S12000013,Scotland,Na h-Eileanan Siar,,0.0,0.0,0.0,0,0,0,,,,,,
S12000021,Scotland,North Ayrshire,,57.3,0.5,57.9,796,"1,346","2,142","13,881","2,573,090","37,016","12,628","159,250","12,708"
S12000044,Scotland,North Lanarkshire,,136.0,1.4,137.4,"2,032",968,"3,001","14,939","686,873","21,832","13,825","171,018","13,913"
S12000023,Scotland,Orkney Islands,,0.0,0.0,0.0,0,0,0,,,,,,
S12000024,Scotland,Perth and Kinross,,42.4,0.7,43.1,700,340,"1,040","16,491","480,893","24,102","14,660","167,536","14,839"
S12000038,Scotland,Renfrewshire,,75.0,0.9,76.0,"1,061",637,"1,698","14,138","679,509","22,351","12,786","193,501","12,907"
S12000026,Scotland,Scottish Borders,,35.4,0.5,35.9,526,297,824,"14,867","602,958","22,945","13,305","161,100","13,440"
S12000027,Scotland,Shetland Islands,,0.0,0.0,0.0,0,0,0,,,,,,
S12000028,Scotland,South Ayrshire,,45.0,0.5,45.6,700,522,"1,223","15,544","967,323","26,818","13,872","169,069","14,002"
S12000029,Scotland,South Lanarkshire,,116.4,1.3,117.7,"1,889",758,"2,647","16,234","570,161","22,494","14,739","169,545","14,848"
S12000030,Scotland,Stirling,,30.3,0.5,30.8,508,768,"1,276","16,761","1,551,542","41,410","14,741","152,294","14,931"
S12000039,Scotland,West Dunbartonshire,,39.9,0.4,40.2,510,302,813,"12,803","833,136","20,204","11,804","171,964","11,878"
S12000040,Scotland,West Lothian,,70.2,0.7,70.9,"1,070",727,"1,797","15,243","1,038,056","25,342","14,204","216,192","14,273"
