"Subnational gas consumption, Great Britain, 2019",,,,,,,,,,,,,,,,
"This table shows the gas consumption and the number of gas meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,,
"Cells in the ""Notes"" columns have been left blank where there is no note for the given row.",,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,,
Code,Country or region,Local authority,Notes,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic
","Median consumption
(kWh per meter):
Non-Domestic","Median consumption
(kWh per meter):
All meters","Number of 
non-consuming meters 
(thousands)"
E07000119,North West,Fylde,[note 1],34.4,0.4,34.8,506.3,190.9,697.3,"14,726.3","464,523.8","20,039.5","12,967.7","133,429.4","13,081.3",0.4
E07000120,North West,Hyndburn,,35.5,0.4,35.9,480.0,276.1,756.1,"13,535.1","691,954.7","21,083.6","12,375.1","148,332.4","12,460.3",0.6
E07000121,North West,Lancaster,,55.6,0.6,56.2,729.6,451.3,"1,180.9","13,115.6","778,043.6","21,008.8","11,768.9","155,260.3","11,858.5",0.6
E07000122,North West,Pendle,,38.6,0.4,39.1,554.3,227.2,781.5,"14,344.6","530,840.5","20,002.4","12,962.8","146,828.9","13,080.3",0.6
E07000123,North West,Preston,,56.8,0.7,57.6,761.7,374.4,"1,136.0","13,400.0","510,715.3","19,731.4","11,833.0","161,674.5","11,950.0",0.9
E07000124,North West,Ribble Valley,,22.7,0.3,23.0,349.0,241.2,590.2,"15,360.1","899,973.6","25,671.4","13,534.3","133,906.4","13,653.8",0.3
E07000125,North West,Rossendale,,30.4,0.4,30.8,459.2,247.3,706.5,"15,082.3","704,694.3","22,942.7","13,558.3","134,497.1","13,652.3",0.4
E07000126,North West,South Ribble,,47.7,0.4,48.1,631.5,290.6,922.1,"13,237.8","683,836.0","19,159.6","12,115.6","145,676.5","12,167.5",0.4
E07000127,North West,West Lancashire,,44.0,0.5,44.4,625.4,650.7,"1,276.0","14,223.0","1,423,776.8","28,722.8","12,636.6","137,811.8","12,720.9",0.4
E07000128,North West,Wyre,,46.8,0.4,47.2,643.7,400.0,"1,043.7","13,760.9","1,066,737.9","22,135.0","12,515.7","146,753.9","12,578.8",0.4
E08000001,North West,Bolton,,116.6,1.2,117.9,"1,603.7",539.8,"2,143.5","13,749.6","440,680.8","18,186.9","12,304.6","149,367.6","12,388.8",1.4
