"Subnational gas consumption, Great Britain, 2014",,,,,,,,,,,,,,,
"This table shows the gas consumption and the number of gas meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,
"Cells in the ""Notes"" columns have been left blank where there is no note for the given row.",,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,
Code,Country or region,Local authority,Notes,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic
","Median consumption
(kWh per meter):
Non-Domestic","Median consumption
(kWh per meter):
All meters"
E07000240,East,St Albans,,54.8,0.7,55.5,906,268,"1,174","16,533","364,205","21,135","14,890","135,175","15,046"
E07000241,East,Welwyn Hatfield,,42.5,0.6,43.1,609,287,895,"14,323","477,930","20,780","12,477","154,079","12,607"
E07000242,East,East Hertfordshire,,47.7,0.6,48.3,723,295,"1,018","15,171","492,914","21,092","13,440","134,559","13,549"
E07000243,East,Stevenage,,33.3,0.3,33.7,408,292,700,"12,225","846,784","20,772","11,420","177,837","11,496"
E07000244,East,East Suffolk,,86.0,0.7,86.7,"1,076",376,"1,452","12,509","526,428","16,747","11,287","144,808","11,345"
E07000245,East,West Suffolk,,50.9,0.6,51.5,626,"1,784","2,410","12,300","2,782,678","46,755","10,963","156,883","11,048"
E09000001,#N/A,City of London,,2.6,1.0,3.6,30,816,846,"11,773","800,392","236,809","6,507","277,707","11,667"
E09000007,#N/A,Camden,,79.4,2.7,82.1,966,"1,439","2,405","12,158","527,917","29,273","9,163","158,409","9,505"
E09000012,#N/A,Hackney,,91.7,1.0,92.8,978,332,"1,310","10,658","325,971","14,118","8,679","161,898","8,766"
E09000013,#N/A,Hammersmith and Fulham,,74.9,1.0,75.9,888,565,"1,453","11,854","567,013","19,147","9,549","182,629","9,660"
E09000014,#N/A,Haringey,,96.6,1.1,97.6,"1,270",340,"1,610","13,147","318,295","16,487","10,955","138,108","11,054"
E09000019,#N/A,Islington,[note 1],87.9,1.3,89.2,910,690,"1,600","10,354","538,719","17,946","8,299","176,253","8,413"
E09000020,#N/A,Kensington and Chelsea,,70.5,2.5,72.9,885,942,"1,826","12,559","381,336","25,043","9,135","140,140","9,531"
E09000022,#N/A,Lambeth,,119.8,1.3,121.2,"1,389",844,"2,233","11,596","625,548","18,432","9,571","170,000","9,668"
E09000023,#N/A,Lewisham,,109.5,0.9,110.4,"1,323",283,"1,606","12,082","321,550","14,553","10,476","139,123","10,549"
E09000025,#N/A,Newham,,93.0,0.9,94.0,"1,086",956,"2,042","11,672","1,029,074","21,730","10,330","163,859","10,417"
E09000028,#N/A,Southwark,,102.3,1.5,103.8,"1,041",938,"1,979","10,177","639,562","19,074","8,334","174,450","8,445"
E09000030,#N/A,Tower Hamlets,,77.2,1.2,78.4,711,719,"1,430","9,217","583,214","18,238","7,921","209,615","8,023"
E09000032,#N/A,Wandsworth,,119.9,1.4,121.2,"1,527",630,"2,157","12,735","457,136","17,790","10,510","153,182","10,619"
E09000033,#N/A,Westminster,,89.0,4.9,94.0,982,"2,607","3,589","11,031","527,829","38,195","8,014","190,832","8,531"
E09000002,#N/A,Barking and Dagenham,[note 1],65.8,0.5,66.3,734,251,985,"11,154","496,336","14,854","10,407","160,183","10,462"
E09000003,#N/A,Barnet,,126.9,2.1,129.0,"2,177",601,"2,778","17,156","283,401","21,535","14,458","114,553","14,676"
E09000004,#N/A,Bexley,,88.9,0.6,89.5,"1,234",745,"1,979","13,884","1,169,391","22,105","13,050","163,926","13,109"
E09000005,#N/A,Brent,,102.3,1.2,103.4,"1,534",585,"2,119","15,001","499,602","20,488","13,025","140,801","13,173"
E09000006,#N/A,Bromley,,129.3,1.3,130.6,"2,035",413,"2,448","15,739","315,908","18,746","13,981","128,441","14,089"
E09000008,#N/A,Croydon,,138.2,1.3,139.6,"2,033",444,"2,478","14,711","332,830","17,755","13,002","134,283","13,104"
E09000009,#N/A,Ealing,,117.9,1.4,119.3,"1,674",825,"2,499","14,198","575,892","20,942","12,580","155,820","12,708"
E09000010,#N/A,Enfield,[note 1],107.5,1.1,108.6,"1,547",550,"2,097","14,399","491,684","19,314","12,825","136,129","12,934"
E09000011,#N/A,Greenwich,,92.5,0.9,93.4,"1,130","1,044","2,174","12,221","1,165,976","23,283","10,819","164,190","10,903"
E09000015,#N/A,Harrow,,82.4,0.9,83.3,"1,420",380,"1,799","17,226","419,788","21,600","15,816","135,412","15,949"
E09000016,#N/A,Havering,,95.9,0.8,96.6,"1,339",230,"1,569","13,959","306,353","16,231","12,899","135,467","12,967"
E09000017,#N/A,Hillingdon,,97.6,1.1,98.8,"1,437",942,"2,379","14,719","826,157","24,086","13,417","166,063","13,524"
E09000018,#N/A,Hounslow,,83.4,1.1,84.5,"1,164",646,"1,810","13,952","584,928","21,416","12,342","195,268","12,471"
E09000021,#N/A,Kingston upon Thames,,59.8,0.8,60.6,895,244,"1,139","14,978","308,136","18,811","13,387","142,483","13,539"
E09000024,#N/A,Merton,,76.2,0.9,77.1,"1,067",335,"1,402","14,004","358,089","18,179","12,287","135,767","12,402"
E09000026,#N/A,Redbridge,,94.0,0.8,94.8,"1,435",247,"1,682","15,278","303,106","17,753","13,897","145,975","13,992"
E09000027,#N/A,Richmond upon Thames,,77.9,1.1,79.0,"1,203",356,"1,559","15,448","336,766","19,750","13,041","129,788","13,184"
E09000029,#N/A,Sutton,,71.5,0.7,72.2,"1,043",238,"1,281","14,590","341,869","17,751","12,874","132,123","12,977"
E09000031,#N/A,Waltham Forest,,92.8,0.8,93.6,"1,202",304,"1,506","12,960","382,413","16,100","11,604","152,093","11,682"
E06000035,South East,Medway,[note 1],104.7,0.8,105.5,"1,251",349,"1,600","11,952","438,377","15,170","10,952","157,438","11,009"
E06000036,South East,Bracknell Forest,,42.3,0.5,42.8,594,239,833,"14,037","454,237","19,442","12,725","159,929","12,823"
E06000037,South East,West Berkshire,[note 1],45.3,0.6,45.8,652,480,"1,131","14,398","855,234","24,693","13,091","165,789","13,186"
E06000038,South East,Reading,,57.1,0.8,57.9,762,410,"1,171","13,343","492,912","20,226","11,824","172,413","11,943"
E06000039,South East,Slough,,44.7,0.6,45.2,578,424,"1,003","12,947","749,780","22,167","11,639","202,983","11,737"
E06000040,South East,Windsor and Maidenhead,,54.0,1.1,55.1,902,318,"1,220","16,692","291,358","22,127","14,447","124,962","14,656"
E06000041,South East,Wokingham,,58.0,0.6,58.6,937,229,"1,166","16,156","371,923","19,895","14,771","144,980","14,878"
E06000042,South East,Milton Keynes,,96.4,1.3,97.7,"1,239",706,"1,945","12,854","546,571","19,909","11,579","189,712","11,684"
E06000043,South East,Brighton and Hove,[note 1],109.5,1.3,110.7,"1,297",459,"1,756","11,851","361,294","15,859","10,190","161,924","10,279"
E06000044,South East,Portsmouth,,78.7,0.8,79.5,842,404,"1,246","10,701","496,023","15,678","9,579","163,727","9,651"
E06000045,South East,Southampton,,80.8,0.8,81.6,899,493,"1,393","11,133","584,450","17,061","9,983","161,211","10,061"
E06000046,South East,Isle of Wight,,56.6,0.7,57.2,642,418,"1,059","11,344","634,689","18,512","9,807","152,693","9,900"
E07000004,South East,Aylesbury Vale,,57.5,0.6,58.1,822,379,"1,201","14,293","618,590","20,668","12,836","146,936","12,927"
E07000005,South East,Chiltern,,34.8,0.6,35.4,671,143,814,"19,285","233,193","22,996","17,037","107,424","17,276"
E07000006,South East,South Bucks,,25.6,0.7,26.3,505,322,826,"19,708","482,895","31,453","16,483","107,572","16,874"
E07000007,South East,Wycombe,,60.1,0.8,60.9,966,232,"1,198","16,081","300,907","19,685","14,639","136,586","14,765"
E07000061,South East,Eastbourne,,40.8,0.6,41.3,470,276,746,"11,536","499,195","18,051","10,134","159,458","10,237"
E07000062,South East,Hastings,,37.0,0.3,37.3,429,97,525,"11,599","279,820","14,079","10,267","141,359","10,346"
E07000063,South East,Lewes,,36.2,0.3,36.5,466,110,576,"12,875","320,598","15,755","11,411","136,831","11,489"
E07000064,South East,Rother,,32.7,0.3,33.0,457,271,728,"13,990","800,538","22,066","12,394","139,443","12,485"
E07000065,South East,Wealden,,48.9,0.5,49.5,710,118,828,"14,514","225,253","16,738","12,581","119,767","12,687"
E07000084,South East,Basingstoke and Deane,,59.9,0.6,60.5,785,453,"1,237","13,109","755,580","20,464","11,915","167,974","11,994"
E07000085,South East,East Hampshire,,40.7,0.4,41.1,619,146,765,"15,213","332,553","18,610","13,471","121,779","13,578"
E07000086,South East,Eastleigh,,49.3,0.4,49.7,623,174,798,"12,656","415,468","16,062","11,521","166,817","11,592"
E07000087,South East,Fareham,,45.2,0.4,45.5,577,151,728,"12,772","400,678","15,992","11,665","150,401","11,726"
E07000088,South East,Gosport,,31.3,0.2,31.5,341,107,448,"10,921","487,555","14,237","10,046","173,570","10,100"
E07000089,South East,Hart,,33.5,0.4,33.9,565,156,721,"16,847","393,458","21,253","15,334","135,342","15,444"
E07000090,South East,Havant,,49.5,0.3,49.8,608,104,712,"12,300","300,668","14,297","11,210","147,392","11,263"
E07000091,South East,New Forest,[note 1],68.9,0.7,69.6,921,257,"1,178","13,364","371,525","16,932","11,940","140,366","12,018"
E07000092,South East,Rushmoor,,34.8,0.5,35.3,467,199,666,"13,435","388,603","18,868","12,341","184,697","12,469"
E07000093,South East,Test Valley,,36.0,0.5,36.5,471,238,709,"13,096","528,174","19,455","11,786","157,941","11,883"
E07000094,South East,Winchester,,38.5,0.6,39.1,560,238,798,"14,543","397,731","20,401","12,646","149,736","12,799"
E07000105,South East,Ashford,,39.5,0.4,39.9,497,197,694,"12,569","483,428","17,368","11,242","150,156","11,283"
E07000106,South East,Canterbury,,57.7,0.7,58.4,758,346,"1,104","13,129","508,425","18,906","11,718","149,318","11,821"
E07000107,South East,Dartford,,38.2,0.4,38.6,491,151,642,"12,857","390,311","16,643","11,770","166,446","11,847"
E07000108,South East,Dover,,44.5,0.4,44.9,533,260,792,"11,964","667,470","17,641","10,559","131,070","10,620"
E07000109,South East,Gravesham,,38.7,0.2,38.9,489,365,854,"12,652","1,464,143","21,934","11,437","137,143","11,491"
E07000110,South East,Maidstone,,57.5,0.6,58.1,759,226,984,"13,194","376,690","16,942","11,877","144,135","11,957"
E07000111,South East,Sevenoaks,,39.9,0.6,40.5,653,123,777,"16,368","211,072","19,181","14,073","120,420","14,198"
E07000112,South East,Folkestone and Hythe,,41.0,0.4,41.4,497,140,638,"12,136","333,537","15,404","10,764","140,572","10,835"
E07000113,South East,Swale,[note 1],53.3,0.4,53.7,637,606,"1,242","11,955","1,421,474","23,141","10,844","136,448","10,899"
E07000114,South East,Thanet,,59.4,0.5,59.9,693,331,"1,025","11,677","630,134","17,107","10,331","140,623","10,395"
E07000115,South East,Tonbridge and Malling,[note 1],45.7,0.6,46.3,639,763,"1,402","13,977","1,380,534","30,309","12,386","138,694","12,488"
E07000116,South East,Tunbridge Wells,,37.0,0.5,37.5,571,152,723,"15,447","283,071","19,276","13,102","127,761","13,250"
E07000177,South East,Cherwell,,44.6,0.6,45.2,595,657,"1,252","13,343","1,057,482","27,687","12,052","167,136","12,152"
E07000178,South East,Oxford,,50.0,1.3,51.3,706,795,"1,501","14,128","593,645","29,251","12,193","175,457","12,427"
E07000179,South East,South Oxfordshire,,44.5,0.6,45.1,689,219,907,"15,481","344,716","20,107","13,517","131,606","13,646"
E07000180,South East,Vale of White Horse,[note 1],42.6,0.6,43.2,620,287,908,"14,554","486,858","21,003","12,999","145,921","13,118"
E07000181,South East,West Oxfordshire,,33.5,0.4,33.9,493,191,684,"14,702","503,098","20,160","13,096","135,212","13,196"
E07000207,South East,Elmbridge,,51.3,1.5,52.8,964,299,"1,263","18,786","205,803","23,930","15,733","110,027","16,126"
E07000208,South East,Epsom and Ewell,,28.5,0.3,28.9,483,106,589,"16,940","317,393","20,416","15,532","142,832","15,666"
E07000209,South East,Guildford,,50.3,0.9,51.2,815,357,"1,173","16,222","386,565","22,906","14,041","133,098","14,227"
E07000210,South East,Mole Valley,,32.6,0.6,33.2,578,215,793,"17,740","345,945","23,877","15,602","119,416","15,824"
E07000211,South East,Reigate and Banstead,,54.2,0.8,55.0,896,238,"1,135","16,547","282,523","20,623","14,229","117,817","14,405"
E07000212,South East,Runnymede,,29.4,0.6,30.0,464,268,733,"15,813","428,749","24,436","14,037","132,895","14,240"
E07000213,South East,Spelthorne,,37.2,0.4,37.6,536,137,672,"14,397","362,387","17,887","13,230","158,940","13,318"
E07000214,South East,Surrey Heath,,33.1,0.5,33.6,580,200,779,"17,544","385,366","23,220","15,812","130,411","15,985"
E07000215,South East,Tandridge,,30.9,0.5,31.5,548,112,660,"17,727","203,791","20,973","15,455","109,467","15,653"
E07000216,South East,Waverley,,45.2,0.9,46.1,801,208,"1,009","17,715","237,356","21,900","15,219","116,475","15,452"
E07000217,South East,Woking,,34.9,0.6,35.5,558,168,726,"15,969","299,321","20,453","14,005","128,347","14,170"
E07000223,South East,Adur,,25.2,0.2,25.4,294,66,360,"11,683","319,998","14,186","10,642","156,860","10,700"
E07000224,South East,Arun,,62.4,0.6,63.0,818,300,"1,118","13,106","534,311","17,757","11,597","140,685","11,679"
E07000225,South East,Chichester,,37.5,0.5,38.0,514,392,906,"13,716","740,078","23,825","11,893","137,363","12,018"
E07000226,South East,Crawley,,40.9,0.5,41.4,495,275,770,"12,101","561,439","18,607","11,072","197,142","11,158"
E07000227,South East,Horsham,,44.2,0.4,44.6,628,256,884,"14,234","596,454","19,837","12,652","131,549","12,734"
E07000228,South East,Mid Sussex,,51.2,0.6,51.8,743,232,975,"14,513","383,497","18,825","12,926","141,444","13,023"
E07000229,South East,Worthing,,42.1,0.4,42.5,524,213,737,"12,447","510,636","17,335","11,124","144,414","11,209"
E06000022,South West,Bath and North East Somerset,,65.8,0.8,66.6,879,325,"1,205","13,370","387,876","18,088","11,601","138,371","11,708"
E06000023,South West,"Bristol, City of",[note 1],168.9,1.9,170.9,"1,963",748,"2,711","11,617","386,462","15,864","10,266","163,167","10,346"
E06000024,South West,North Somerset,,80.5,0.7,81.2,983,574,"1,557","12,209","856,734","19,182","10,858","138,583","10,922"
E06000025,South West,South Gloucestershire,[note 1],95.6,0.8,96.4,"1,150",603,"1,753","12,028","756,659","18,182","11,050","173,247","11,104"
E06000026,South West,Plymouth,,106.6,0.8,107.5,"1,039",441,"1,480","9,745","523,265","13,769","8,481","161,523","8,527"
E06000027,South West,Torbay,,55.2,0.7,55.9,634,191,825,"11,479","281,177","14,767","9,918","140,633","10,016"
E06000030,South West,Swindon,,83.1,0.9,84.0,"1,006",570,"1,577","12,104","657,165","18,770","11,123","185,656","11,200"
E06000052,South West,Cornwall,,131.3,1.4,132.7,"1,387","1,000","2,387","10,562","725,522","17,987","9,037","152,972","9,114"
E06000054,South West,Wiltshire,[note 1],138.7,1.9,140.5,"1,781","1,208","2,989","12,843","646,588","21,265","11,501","160,484","11,606"
E06000058,South West,"Bournemouth, Christchurch and Poole",,156.2,1.7,158.0,"1,951",670,"2,621","12,488","387,058","16,591","11,061","153,558","11,153"
E06000059,South West,Dorset,,129.9,1.4,131.3,"1,647","1,126","2,773","12,683","789,815","21,124","11,188","151,223","11,278"
E07000040,South West,East Devon,,47.0,0.4,47.4,568,139,707,"12,096","346,529","14,935","10,496","142,733","10,557"
E07000041,South West,Exeter,[note 1],46.3,0.6,46.9,489,408,896,"10,559","651,272","19,113","9,096","168,126","9,186"
E07000042,South West,Mid Devon,,19.7,0.2,19.9,217,208,424,"10,999","965,123","21,288","9,501","141,394","9,582"
E07000043,South West,North Devon,,30.2,0.3,30.6,348,170,518,"11,505","488,246","16,929","10,053","140,932","10,142"
E07000044,South West,South Hams,,24.7,0.3,25.0,291,187,478,"11,772","746,028","19,154","10,091","137,000","10,176"
E07000045,South West,Teignbridge,[note 1],44.7,0.4,45.0,510,328,838,"11,412","904,807","18,616","10,011","145,578","10,071"
E07000046,South West,Torridge,,15.6,0.1,15.7,166,32,198,"10,611","291,792","12,594","9,183","128,597","9,239"
E07000047,South West,West Devon,,13.2,0.1,13.3,163,106,268,"12,317","820,663","20,143","10,367","140,500","10,455"
E07000078,South West,Cheltenham,,48.7,0.7,49.4,602,280,882,"12,354","413,320","17,858","10,766","150,688","10,884"
E07000079,South West,Cotswold,,24.3,0.4,24.6,353,139,492,"14,557","369,261","19,986","12,537","134,290","12,679"
E07000080,South West,Forest of Dean,,21.3,0.2,21.5,267,207,474,"12,530","1,089,342","22,031","11,184","140,061","11,259"
E07000081,South West,Gloucester,,50.2,0.5,50.7,574,276,850,"11,427","544,856","16,749","10,435","153,747","10,500"
E07000082,South West,Stroud,,41.2,0.5,41.7,559,298,857,"13,572","600,075","20,547","11,732","141,133","11,828"
E07000083,South West,Tewkesbury,,31.8,0.3,32.1,390,215,605,"12,279","623,798","18,827","10,833","155,751","10,915"
E07000187,South West,Mendip,,36.6,0.4,36.9,445,216,661,"12,173","550,316","17,884","10,627","145,607","10,684"
E07000188,South West,Sedgemoor,,36.1,0.3,36.4,396,222,618,"10,984","696,960","16,980","9,568","143,903","9,633"
E07000189,South West,South Somerset,,47.4,0.5,47.9,543,435,978,"11,443","917,602","20,411","10,104","153,831","10,177"
E06000053,South West,Isles of Scilly,,0.0,0.0,0.0,0,0,0,,,,,,
E07000246,South West,Somerset West and Taunton,,47.8,0.5,48.3,540,450,990,"11,299","884,482","20,501","9,910","157,966","9,986"
W06000001,Wales,Isle of Anglesey,,15.9,0.2,16.0,183,129,312,"11,509","858,340","19,430","10,082","190,952","10,173"
W06000002,Wales,Gwynedd,,29.7,0.4,30.1,338,177,515,"11,393","400,477","17,108","9,829","151,903","9,948"
W06000003,Wales,Conwy,,45.3,0.6,45.8,557,150,707,"12,301","267,265","15,433","10,809","148,013","10,914"
W06000004,Wales,Denbighshire,,32.9,0.4,33.3,404,164,568,"12,264","433,260","17,055","11,063","153,194","11,144"
W06000005,Wales,Flintshire,[note 1],52.9,0.5,53.4,659,874,"1,533","12,461","1,912,225","28,734","11,600","189,824","11,662"
W06000006,Wales,Wrexham,,50.0,0.5,50.4,608,"1,100","1,707","12,163","2,310,399","33,849","11,231","172,375","11,299"
W06000008,Wales,Ceredigion,,8.6,0.2,8.7,105,78,183,"12,266","499,321","20,982","10,218","145,444","10,378"
W06000009,Wales,Pembrokeshire,,33.6,0.4,34.0,395,143,538,"11,743","409,854","15,843","10,435","144,062","10,512"
W06000010,Wales,Carmarthenshire,[note 1],50.5,0.5,51.0,655,551,"1,206","12,969","1,089,904","23,659","11,768","155,009","11,856"
W06000011,Wales,Swansea,,99.6,0.9,100.5,"1,292",638,"1,930","12,973","725,024","19,207","11,867","168,288","11,945"
W06000012,Wales,Neath Port Talbot,[note 1],59.8,0.5,60.3,770,376,"1,146","12,878","779,684","19,009","11,955","149,307","12,020"
W06000013,Wales,Bridgend,,59.7,0.5,60.2,778,559,"1,336","13,018","1,152,216","22,194","12,044","151,621","12,105"
W06000014,Wales,Vale of Glamorgan,[note 1],49.6,0.4,49.9,651,261,912,"13,124","723,322","18,259","11,676","125,618","11,733"
W06000015,Wales,Cardiff,,135.8,1.5,137.3,"1,699","1,258","2,956","12,506","842,324","21,528","11,119","167,292","11,216"
W06000016,Wales,Rhondda Cynon Taf,,103.7,0.8,104.5,"1,386",500,"1,885","13,364","613,860","18,042","12,619","155,445","12,684"
W06000018,Wales,Caerphilly,,75.7,0.5,76.2,"1,022",316,"1,337","13,500","581,097","17,542","12,701","155,875","12,757"
W06000019,Wales,Blaenau Gwent,,31.4,0.3,31.7,439,148,587,"13,984","523,641","18,541","13,194","200,539","13,284"
W06000020,Wales,Torfaen,,39.3,0.3,39.7,487,370,857,"12,387","1,093,804","21,604","11,359","177,030","11,427"
W06000021,Wales,Monmouthshire,,29.7,0.3,30.0,396,265,661,"13,323","886,816","22,016","11,927","140,945","12,018"
W06000022,Wales,Newport,[note 1],59.7,0.6,60.2,738,"1,015","1,752","12,366","1,841,410","29,106","11,125","172,483","11,194"
W06000023,Wales,Powys,,27.4,0.4,27.8,340,162,501,"12,416","371,615","18,036","10,781","160,007","10,905"
W06000024,Wales,Merthyr Tydfil,,26.0,0.2,26.2,364,126,490,"14,025","554,260","18,729","13,279","156,458","13,357"
S12000005,Scotland,Clackmannanshire,[note 1],22.2,0.2,22.4,302,776,"1,079","13,598","3,842,629","48,072","12,314","161,707","12,392"
S12000006,Scotland,Dumfries and Galloway,,43.2,0.5,43.6,602,546,"1,148","13,945","1,160,669","26,293","12,519","158,384","12,607"
S12000008,Scotland,East Ayrshire,,52.8,0.5,53.3,742,333,"1,074","14,043","726,110","20,165","12,802","174,624","12,876"
S12000010,Scotland,East Lothian,,37.9,0.4,38.3,529,206,734,"13,948","556,056","19,188","12,501","173,542","12,587"
S12000011,Scotland,East Renfrewshire,,34.5,0.4,34.9,646,98,744,"18,723","258,516","21,336","16,653","122,166","16,789"
S12000013,Scotland,Na h-Eileanan Siar,,0.0,0.0,0.0,0,0,0,,,,,,
S12000014,Scotland,Falkirk,[note 1],64.3,0.6,64.9,908,694,"1,602","14,115","1,255,393","24,697","12,997","188,212","13,078"
S12000017,Scotland,Highland,[note 1],39.2,0.5,39.7,577,619,"1,196","14,722","1,146,206","30,110","13,111","163,510","13,247"
S12000018,Scotland,Inverclyde,,32.7,0.4,33.2,466,185,651,"14,231","439,149","19,627","12,586","148,842","12,714"
S12000019,Scotland,Midlothian,,34.1,0.3,34.4,476,159,635,"13,973","479,209","18,465","12,812","189,273","12,879"
S12000020,Scotland,Moray,,29.4,0.4,29.8,439,"1,510","1,950","14,930","3,922,740","65,399","13,235","206,852","13,364"
S12000021,Scotland,North Ayrshire,,58.0,0.5,58.5,764,"1,492","2,255","13,161","2,913,653","38,532","11,878","179,805","11,952"
S12000023,Scotland,Orkney Islands,,0.0,0.0,0.0,0,0,0,,,,,,
S12000026,Scotland,Scottish Borders,,35.9,0.5,36.3,505,280,785,"14,072","614,558","21,607","12,512","155,287","12,635"
S12000027,Scotland,Shetland Islands,,0.0,0.0,0.0,0,0,0,,,,,,
S12000028,Scotland,South Ayrshire,,45.4,0.5,45.9,670,629,"1,299","14,748","1,194,466","28,283","13,037","172,154","13,153"
S12000029,Scotland,South Lanarkshire,,119.9,1.3,121.2,"1,830",673,"2,503","15,266","523,932","20,661","13,706","170,084","13,814"
S12000030,Scotland,Stirling,,31.2,0.5,31.7,489,753,"1,242","15,668","1,523,701","39,173","13,610","143,343","13,763"
S12000033,Scotland,Aberdeen City,[note 1],94.7,1.6,96.3,"1,353",971,"2,325","14,296","597,072","24,142","11,921","174,573","12,088"
S12000034,Scotland,Aberdeenshire,[note 1],61.9,0.8,62.7,"1,038",347,"1,385","16,755","456,646","22,087","15,288","165,136","15,416"
S12000035,Scotland,Argyll and Bute,,20.4,0.3,20.7,316,125,441,"15,515","370,039","21,321","13,116","126,169","13,316"
S12000036,Scotland,City of Edinburgh,,209.1,3.0,212.1,"2,712","1,899","4,611","12,974","624,118","21,742","10,703","154,226","10,847"
S12000038,Scotland,Renfrewshire,,76.4,0.9,77.3,"1,022",528,"1,550","13,372","586,522","20,044","11,991","189,886","12,097"
S12000039,Scotland,West Dunbartonshire,,40.7,0.4,41.0,490,262,752,"12,040","729,055","18,330","10,942","169,384","11,002"
S12000040,Scotland,West Lothian,,71.4,0.7,72.1,"1,033",649,"1,682","14,468","930,067","23,330","13,387","188,062","13,467"
S12000041,Scotland,Angus,,38.1,0.4,38.5,561,364,925,"14,751","860,246","24,046","13,191","178,360","13,292"
S12000042,Scotland,Dundee City,,57.7,0.8,58.5,744,630,"1,374","12,907","787,307","23,502","11,092","189,637","11,218"
S12000045,Scotland,East Dunbartonshire,,42.4,0.4,42.8,759,174,934,"17,907","419,136","21,806","16,135","127,571","16,232"
S12000047,Scotland,Fife,,157.6,1.5,159.1,"2,250","1,632","3,882","14,278","1,092,456","24,405","13,001","173,799","13,082"
S12000048,Scotland,Perth and Kinross,,44.2,0.7,44.9,682,341,"1,022","15,442","484,450","22,791","13,491","167,068","13,651"
S12000049,Scotland,Glasgow City,,246.4,3.5,250.0,"2,842","2,478","5,320","11,533","699,886","21,284","9,885","183,164","10,007"
S12000050,Scotland,North Lanarkshire,,138.2,1.4,139.6,"1,954","1,087","3,041","14,135","797,196","21,780","12,978","171,283","13,062"
